taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
12371761	Quercus latifolia Steud.	2881106	Quercus imbricaria Michx.	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus imbricaria	2881106	
2880448	Quercus × bertrandii Albert & Reyn.	2880445	Quercus × morisii Borzì	29	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus morisii	2880445	
2880902	Quercus × reynieri Albert	10879738	Quercus × auzendei Gren. & Godr.	27	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus auzendei	10879738	
8055045	Quercus grandis Liebm.	2879011	Quercus skinneri Benth.	9	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus skinneri	2879011	
2878356	Quercus donnell-smithii Trel.	2878354	Quercus sapotifolia Liebm.	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus sapotifolia	2878354	
2880752	Quercus × eplingii C.H.Mull.	2880752	Quercus × eplingii C.H.Mull.	117	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus eplingii	2880752	
2878151	Quercus tomentosicupula Hayata	2878149	Quercus pachyloma Seemen	12	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus pachyloma	2878149	
2879532	Quercus robusta C.H.Mull.	2879532	Quercus robusta C.H.Mull.	55	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus robusta	2879532	DD
7732052	Quercus alba f. alba	2879737	Quercus alba L.	3	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus alba	2879737	
3906530	Quercus djiringensis A.Camus	3906530	Quercus djiringensis A.Camus	13	SPECIES	PROVISIONALLY_ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus djiringensis	3906530	
